amplicon_number,ado_rate
AMPL250217,0.005770895
AMPL257565,0.003943445
AMPL257566,0.049437338
AMPL253201,0.005578532
AMPL257567,0.008271617
AMPL250219,0.093055689
AMPL248729,0.026978936
AMPL251098,0.020150043
AMPL151786,0.003077811
AMPL250221,0.010002885
AMPL250222,0.00543426
AMPL253209,0.067423295
AMPL253210,0.003077811
AMPL253211,0.004424353
AMPL248732,0.010483793
AMPL248733,0.041983264
AMPL257571,0.003270174
AMPL257753,0.003510628
AMPL253216,0.137154949
AMPL253217,0.008415889
AMPL253218,0.067759931
AMPL253219,0.009473887
AMPL253220,0.002837357
AMPL253221,0.003799173
AMPL253222,0.006973165
AMPL253223,0.004183899
AMPL248743,0.005530441
AMPL248744,0.00423199
AMPL253226,0.028036934
AMPL253227,0.004183899
AMPL248748,0.069202655
AMPL115238,0.018034048
AMPL251104,0.220640569
AMPL257574,0.002644994
AMPL251106,0.009233433
AMPL251107,0.028758296
AMPL250226,0.006973165
AMPL112922,0.134558046
AMPL248758,0.013032606
AMPL250228,0.21039723
AMPL257576,0.007502164
AMPL257777,0.034096374
AMPL250230,0.003702991
AMPL93537,0.011397519
AMPL251114,0.011541791
AMPL257577,0.00788689
AMPL250232,0.040348177
AMPL250234,0.025728576
AMPL250235,0.002644994
AMPL250236,0.106761566
AMPL250237,0.008896797
AMPL250238,0.022314129
AMPL253250,0.015821872
AMPL187925,0.018659229
AMPL257578,0.03020102
AMPL121280,0.016254689
AMPL257792,0.007502164
AMPL59620,0.009473887
AMPL250241,0.01211888
AMPL251125,0.144416659
AMPL61654,0.004376262
AMPL250242,0.006925075
AMPL250243,0.007357892
AMPL250245,0.061267673
AMPL244809,0.120178898
AMPL244810,0.007309801
AMPL253264,0.007165529
AMPL244812,0.003173992
AMPL244813,0.008608252
AMPL8463,0.221361931
AMPL244815,0.003366356
AMPL244816,0.002596903
AMPL244817,0.011205155
AMPL244818,0.013224969
AMPL244819,0.009858613
AMPL253273,0.010099067
AMPL253274,0.02418967
AMPL244822,0.006588439
AMPL253276,0.003991536
AMPL253277,0.00543426
AMPL253278,0.058141772
AMPL253279,0.086803886
AMPL244828,0.016206598
AMPL244829,0.021881312
AMPL244830,0.016976051
AMPL253283,0.00360681
AMPL257586,0.004760989
AMPL239235,0.005818986
AMPL250249,0.009714341
AMPL250251,0.252813312
AMPL257588,0.168798692
AMPL253289,0.547657978
AMPL250253,0.009906704
AMPL251135,0.012359334
AMPL253292,0.012503607
AMPL165734,0.538039819
AMPL165735,0.012551698
AMPL253295,0.019092046
AMPL59152,0.003847264
AMPL253297,0.00302972
