amplicon_number,ado_rate,gene_name
AMPL250217,0.005770895,RPL22-1
AMPL257565,0.003943445,RPL22-2
AMPL257566,0.049437338,MTOR-1
AMPL253201,0.005578532,MTOR-2
AMPL257567,0.008271617,MTOR-3
AMPL250219,0.093055689,MTOR-4
AMPL248729,0.026978936,MTOR-5
AMPL251098,0.020150043,MAD2L2-1
AMPL151786,0.003077811,SPEN-1
AMPL250221,0.010002885,EPHA2-1
AMPL250222,0.00543426,CDC42-1
AMPL253209,0.067423295,ARID1A-1
AMPL253210,0.003077811,ARID1A-2
AMPL253211,0.004424353,ARID1A-3
AMPL248732,0.010483793,ARID1A-4
AMPL248733,0.041983264,ARID1A-5
AMPL257571,0.003270174,ARID1A-6
AMPL257753,0.003510628,ARID1A-7
AMPL253216,0.137154949,ARID1A-8
AMPL253217,0.008415889,ARID1A-9
AMPL253218,0.067759931,ARID1A-10
AMPL253219,0.009473887,ARID1A-11
AMPL253220,0.002837357,ARID1A-12
AMPL253221,0.003799173,ARID1A-13
AMPL253222,0.006973165,ARID1A-14
AMPL253223,0.004183899,ARID1A-15
AMPL248743,0.005530441,ARID1A-16
AMPL248744,0.00423199,ARID1A-17
AMPL253226,0.028036934,ARID1A-18
AMPL253227,0.004183899,ARID1A-19
AMPL248748,0.069202655,ARID1A-20
AMPL115238,0.018034048,ARID1A-21
AMPL251104,0.220640569,MACF1-1
AMPL257574,0.002644994,PIK3R3-1
AMPL251106,0.009233433,HFM1-1
AMPL251107,0.028758296,HFM1-2
AMPL250226,0.006973165,RPL5-1
AMPL112922,0.134558046,NRAS-1
AMPL248758,0.013032606,NOTCH2-1
AMPL250228,0.21039723,NOTCH2-2
AMPL257576,0.007502164,CLK2-1
AMPL257777,0.034096374,CLK2-2
AMPL250230,0.003702991,CLK2-3
AMPL93537,0.011397519,INSRR-1
AMPL251114,0.011541791,SPTA1-1
AMPL257577,0.00788689,NUF2-1
AMPL250232,0.040348177,DHX9-1
AMPL250234,0.025728576,IKBKE-1
AMPL250235,0.002644994,IRF6-1
AMPL250236,0.106761566,IRF6-2
AMPL250237,0.008896797,PARP1-1
AMPL250238,0.022314129,MYCN-1
AMPL253250,0.015821872,DNMT3A-1
AMPL187925,0.018659229,DNMT3A-2
AMPL257578,0.03020102,DNMT3A-3
AMPL121280,0.016254689,DNMT3A-4
AMPL257792,0.007502164,MSH2-1
AMPL59620,0.009473887,MSH2-2
AMPL250241,0.01211888,MSH2-3
AMPL251125,0.144416659,MSH6-1
AMPL61654,0.004376262,CTNNA2-1
AMPL250242,0.006925075,REV1-1
AMPL250243,0.007357892,ERCC3-1
AMPL250245,0.061267673,ERCC3-2
AMPL244809,0.120178898,ACVR2A-1
AMPL244810,0.007309801,ACVR2A-2
AMPL253264,0.007165529,ACVR2A-3
AMPL244812,0.003173992,ACVR2A-4
AMPL244813,0.008608252,ACVR2A-5
AMPL8463,0.221361931,ACVR2A-6
AMPL244815,0.003366356,ACVR2A-7
AMPL244816,0.002596903,ACVR2A-8
AMPL244817,0.011205155,ACVR2A-9
AMPL244818,0.013224969,ACVR2A-10
