amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance
AMPL250217,True,0.0018893514153652,0.5421918906909604,-5.578374494719119,1.0,pearson,168.80994763377612,3909.812818723215
AMPL257565,True,0.0016338564730361,0.409302805863238,-5.723664943641494,1.0,pearson,186.44167052405103,5624.956886397862
AMPL257566,True,0.0002927061632337,0.8882410505415411,-7.443194127441264,1.0,pearson,213.00930196246645,17845.211198975965
AMPL253201,True,0.0009401001457073,0.3974871972758124,-6.276376969828545,1.0,pearson,205.3244283623867,9356.68412781234
AMPL257567,True,0.0006486961426226,0.4476897328698055,-6.647398963522266,1.0,pearson,211.0982754182198,12320.86089257375
AMPL250219,True,0.0001160456011589,0.9127809380708168,-8.368380150107859,1.0,pearson,213.244680870386,14911.394171295511
AMPL248729,True,0.0003213719466122,0.6423758737134884,-7.349764212875357,1.0,pearson,214.9977683753752,16698.948511334773
AMPL251098,True,0.0007936789810593,0.7723682708831455,-6.445684303881452,1.0,pearson,193.67674240889428,10358.97948874138
AMPL151786,True,0.0039897874813149,0.4071334412203489,-4.830870131767265,1.0,pearson,133.28746309661514,796.8484268045754
AMPL250221,True,0.000718124419831,0.5553921666655639,-6.545720536695712,1.0,pearson,204.8024357507139,11609.01468635241
AMPL250222,True,0.0013726266851699,0.4935429349246943,-5.897881905788482,1.0,pearson,186.16349678743367,5735.93675209334
AMPL253209,True,0.0001569985648489,0.7283638922735983,-8.066126713187298,1.0,pearson,219.5302840834535,16870.694800857746
AMPL253210,True,0.0016596885171469,0.4142493819768141,-5.707978153933288,1.0,pearson,183.1853016576249,4587.088555471706
AMPL253211,True,0.0006708565238039,0.4292973608734,-6.61380808773156,1.0,pearson,204.75908470592432,9122.61638361586
AMPL248732,True,0.0007454341164787,0.6151022615811281,-6.508396622049525,1.0,pearson,196.7528150490671,9008.802167468368
AMPL248733,True,0.0002150185206185,0.6428928398202401,-7.751639210574806,1.0,pearson,216.21944222409812,15563.802643636382
AMPL257571,True,0.0014737896904368,0.3559254825818281,-5.826770994321266,1.0,pearson,193.0540877642891,5561.031432720984
AMPL257753,True,0.0007145318616669,0.3278226885795903,-6.550735788072754,1.0,pearson,212.40628976915744,10850.28456683392
AMPL253216,True,9.10329771230412e-05,0.9218262501187758,-8.611141550565929,1.0,pearson,228.32448180730825,19121.85152032872
AMPL253217,True,0.0007997545270505,0.4488536071277501,-6.43805853800864,1.0,pearson,205.4169626689787,9625.62704316082
AMPL253218,True,0.0001369525224434,0.926250221545429,-8.202729063146393,1.0,pearson,202.653560674953,11722.56110633164
AMPL253219,True,0.0005400257433863,0.4908012539676857,-6.8307465660446605,1.0,pearson,208.2480009915057,11352.078033967897
AMPL253220,True,0.0020120053372851,0.3479296435009778,-5.515476193462,1.0,pearson,181.16908331110173,3868.1834431046127
AMPL253221,True,0.0012396739101543,0.4622989647361624,-5.999759729071422,1.0,pearson,191.30329047545357,6390.730105586415
AMPL253222,True,0.0018329384171099,0.7246696431387615,-5.608687726904825,1.0,pearson,157.3253888539606,3190.914577094579
AMPL253223,True,0.0022042008213306,0.4432676029630764,-5.424243094526189,1.0,pearson,168.2145356023129,3277.8291012738864
AMPL248743,True,0.0005575096540156,0.4682744843202732,-6.798883557599901,1.0,pearson,203.1116045776245,8296.212923652922
AMPL248744,True,0.0011097228143741,0.4280797660717776,-6.110497831062428,1.0,pearson,196.3638392634178,6891.570342403342
AMPL253226,True,0.000290835595451,0.6964782433441822,-7.449605233970799,1.0,pearson,208.0246144916279,13779.524583008608
AMPL253227,True,0.0014853032959842,0.3771509836355008,-5.818989107301588,1.0,pearson,191.22404987293737,5448.711215472854
AMPL248748,True,0.0001163601383626,0.749950891541414,-8.365673354686589,1.0,pearson,210.44631764130824,12173.262560771793
AMPL115238,True,0.0002837382133039,0.4872743702770966,-7.474311348488525,1.0,pearson,215.9619891455645,14475.09848310801
AMPL251104,True,6.463918925351789e-05,1.171981984451259,-8.95354250575904,1.0,pearson,242.3170887522388,21528.01794501259
AMPL257574,True,0.0032223466668516,0.2445633678350039,-5.04449822577064,1.0,pearson,168.15170518866395,2485.244015466072
AMPL251106,True,0.0008457943684829,0.5202442405079406,-6.382087110601741,1.0,pearson,199.9353428569079,8972.65288399715
AMPL251107,True,0.0004440868586341,0.746133266844042,-7.026343206550331,1.0,pearson,206.02450600590373,13725.03949646964
AMPL250226,True,0.0006904203789891,0.4307319267395876,-6.585062720415579,1.0,pearson,209.73330098770856,11379.320636084363
AMPL112922,True,6.366658038381543e-05,0.7431966533798438,-8.968703593254757,1.0,pearson,224.59615725038103,13560.885968043183
AMPL248758,True,0.0004863784077883,0.5338777921753737,-6.935376439620288,1.0,pearson,211.46116704286652,13661.105262491716
AMPL250228,True,7.998001370965208e-05,1.335664966041366,-8.740586602572167,1.0,pearson,236.0550994433284,21484.508090504303
AMPL257576,True,0.0007941205714402,0.4260000496604207,-6.445128074486446,1.0,pearson,205.9622630260097,9424.34311372192
AMPL257777,True,0.0002053636322755,0.567960747341696,-7.797581153641399,1.0,pearson,219.47028550810876,17605.228052430164
AMPL250230,True,0.001608140072003,0.3020353586486587,-5.73952982200461,1.0,pearson,196.17342728092703,6157.875206633916
AMPL93537,True,0.0005861309607437,0.5263074801846614,-6.74882013029795,1.0,pearson,207.4796487724648,11696.471997877934
AMPL251114,True,0.0004706999697509,0.6011538503619137,-6.9681424932611655,1.0,pearson,207.32204085492333,13978.579984856884
AMPL257577,True,0.0007204162190147,0.4974708028046208,-6.542534250454299,1.0,pearson,203.99380589964312,10092.79648015861
AMPL250232,True,0.0002484161589508,0.7203275775001513,-7.607257977323674,1.0,pearson,211.06906598880545,14420.498398155896
AMPL250234,True,0.0004190858872046,0.6668536313250961,-7.084287497092673,1.0,pearson,208.70385217991188,13292.686997105464
AMPL250235,True,0.0011345581224471,0.2982406238625521,-6.088364842723147,1.0,pearson,206.70513956765055,8609.138365273468
AMPL250236,True,9.6672008786257e-05,0.7648797371337622,-8.551039481312772,1.0,pearson,223.34617565910924,15965.940193241522
AMPL250237,True,0.0010760416890887,0.5984043006454963,-6.141318892926874,1.0,pearson,187.50017690162397,6428.883280811149
AMPL250238,True,0.0006448165283133,0.7107170239193425,-6.653397553300108,1.0,pearson,198.71802077315053,10033.56438389906
AMPL253250,True,0.0003219952970084,0.4895840794520469,-7.347826437530277,1.0,pearson,215.7340897145397,14701.105240694393
AMPL187925,True,0.0003691590972207,0.58802807749903,-7.211135668505785,1.0,pearson,213.3582028102336,15439.098759108188
AMPL257578,True,0.0003165967815545,0.7226585428590357,-7.364734395661102,1.0,pearson,213.87889016694209,18070.272134609266
AMPL121280,True,0.000878007717074,0.7453759818818194,-6.344707994429653,1.0,pearson,190.1362037184048,9106.608479877315
AMPL257792,True,0.0006658611832494,0.4976624902954339,-6.621282162148611,1.0,pearson,206.5853593918882,11615.490427330296
AMPL59620,True,0.0011006576855441,0.620342681344745,-6.1187002013372265,1.0,pearson,188.17910128086783,7554.855890408796
AMPL250241,True,0.0005076938191706,0.5238194155838328,-6.892484829701514,1.0,pearson,209.62553906048788,12512.592513430936
AMPL251125,True,6.365499053652844e-05,0.9782182803189164,-8.968885649558889,1.0,pearson,217.5362801385196,15234.514694711675
AMPL61654,True,0.0015375283175066,0.4069358852287692,-5.784431960002755,1.0,pearson,190.6126877175542,6748.518685953767
AMPL250242,True,0.0010182808943945,0.4863336599091333,-6.1964922906589015,1.0,pearson,195.66956749606237,7198.549821902264
AMPL250243,True,0.0007539740669216,0.4456906355941066,-6.497005403991038,1.0,pearson,207.3880439050244,10786.550712736189
AMPL250245,True,0.0001581134297517,0.7601837883966425,-8.059050692130363,1.0,pearson,215.00904253083223,15868.4939395929
AMPL244809,True,0.0001496945646391,1.0731608699919255,-8.113766394993679,1.0,pearson,224.40290697380917,20686.49439718605
AMPL244810,True,0.0007680880376025,0.4848314181618283,-6.4784590185314,1.0,pearson,203.13408467317396,9673.02467903726
AMPL253264,True,0.0008375716199215,0.5256693816955471,-6.391856601037237,1.0,pearson,197.70316499667564,8237.215192569367
AMPL244812,True,0.0013052383065124,0.3215540393036003,-5.948222463964382,1.0,pearson,202.89159721990768,8520.73833116075
AMPL244813,True,0.0004564560957187,0.4190942039439663,-6.998870857856996,1.0,pearson,213.9897242353071,12752.101615873633
AMPL8463,True,5.353712371826459e-05,0.9413657618107308,-9.141988062864572,1.0,pearson,246.6161454756835,19461.54885351254
AMPL244815,True,0.0013900975354074,0.278750849439478,-5.885234184383482,1.0,pearson,201.19497260829743,6305.675212892908
AMPL244816,True,0.0022474572999287,0.3063929872751457,-5.404808610158392,1.0,pearson,179.63378451991017,3187.571820842028
AMPL244817,True,0.0007853432616314,0.6022663070911795,-6.456242479235556,1.0,pearson,198.4266425183736,9796.658457966138
AMPL244818,True,0.000588181750416,0.5631285431883275,-6.745327377919961,1.0,pearson,204.44279589788863,10916.74499102613
AMPL244819,True,0.0007651535663891,0.5139898701935878,-6.482286823345502,1.0,pearson,204.72435128292105,10832.891919802314
AMPL253273,True,0.0006617407547619,0.4986533414505329,-6.627489507287153,1.0,pearson,206.24110616819848,10826.983828098408
AMPL253274,True,0.000447683265745,0.7223739602759827,-7.0182773911336485,1.0,pearson,207.3790423137719,14658.262607773073
AMPL244822,True,0.0010766036529408,0.5372975981495164,-6.140796778248807,1.0,pearson,191.21485683302768,6958.993897668222
AMPL253276,True,0.0015721369449047,0.3988270274718406,-5.76217229313014,1.0,pearson,187.42658849595716,5093.679847434562
AMPL253277,True,0.0008643493410599,0.3540254191927607,-6.360386360389122,1.0,pearson,208.21654005330103,9241.072844302413
AMPL253278,True,0.0001844730657692,0.7740206364703448,-7.904859909571053,1.0,pearson,217.4528601282779,18356.797266922145
