amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance,gene
AMPL112922,True,0.0008255992755703779,0.45635095451632013,-6.4062538601357755,1.0,pearson,156.43462848444585,4220.208431255163,NRAS
AMPL113204,True,1.4371457020980759e-05,1.7712072798665552,-10.457119289204856,1.0,pearson,260.98185890974094,8800.3875181942,CDKN2A
AMPL113384,True,3.843488541833358e-05,0.8687532091314469,-9.473397855788019,1.0,pearson,192.152754447156,6482.347348548461,EP300
AMPL113442,True,0.00024078432403909253,0.6864261254583288,-7.638461765594157,1.0,pearson,160.24596980174258,5997.9072617494,BRAF
AMPL113492,True,0.0006814220015918404,0.49464623286938575,-6.5981815838935685,1.0,pearson,158.3974418516568,4530.496451253794,ATM
AMPL113643,True,0.0007812514653997513,2.664675373785766,-6.461466300643795,1.0,pearson,132.78131697370546,5666.37748859248,CREBBP
AMPL113790,True,0.0013337791295640333,0.4892050297053955,-5.926591734678946,1.0,pearson,150.45244435956016,3084.168700374353,TP53
AMPL115238,True,0.0006302812429604338,0.6559430484731624,-6.676197240235838,1.0,pearson,153.08471460599057,4976.791930933953,ARID1A
AMPL115316,True,0.002603155647408209,0.7592132881814785,-5.257883678804348,1.0,pearson,117.65647663452229,1504.7297493791402,TP53
AMPL115373,True,0.0005815090557501317,0.7442141491468847,-6.756736832479798,1.0,pearson,153.31803034133765,5414.438275517238,KRAS
AMPL115376,True,0.0001824272813557974,0.5340093846832331,-7.916011742111793,1.0,pearson,162.8896204827629,5572.068899802475,KRAS
AMPL115428,True,0.0008330207764848215,0.4100093488059236,-6.397304793790037,1.0,pearson,157.40478032538851,3479.0587108710097,TP53
AMPL115555,True,0.00032402988668929765,0.6295078164996075,-7.3415276229979085,1.0,pearson,158.6183436356064,5737.218614479189,APC
AMPL115655,True,0.0004248518849856499,0.8870064282133296,-7.07062277513833,1.0,pearson,152.14994883146974,5541.861800841102,CDKN2A
AMPL115656,True,0.0005825937473860491,1.1455229779973426,-6.754873265195341,1.0,pearson,153.87784047465072,5675.097003769589,CDKN2A
AMPL115657,True,3.2702254417806436e-05,2.9624555990958017,-9.634919359436978,1.0,pearson,221.68892468449818,14063.639339210302,CDKN2A
AMPL115660,True,0.0004355170665746835,4.028663724095093,-7.045829393418807,1.0,pearson,181.21315373391235,5237.976016909404,CDKN2A
AMPL115769,True,0.00011634971840691572,2.063105997656672,-8.365762907883145,1.0,pearson,185.38253584043898,8807.697492076439,AKT1
AMPL115788,True,0.00010940629174779667,0.6935867948600141,-8.427294977664346,1.0,pearson,167.67456481617856,5812.830837790939,TP53
AMPL115816,True,0.0009398019580443912,0.47444441364791845,-6.2766942072685445,1.0,pearson,153.05747565471088,3617.837945867525,ERBB2
AMPL117568,True,0.00048680241005262894,0.5186624052350683,-6.934505065496661,1.0,pearson,156.79811296676468,4014.4879224845376,KMT2D
AMPL117734,True,0.0005219013262974541,0.5572208391316796,-6.864884837471633,1.0,pearson,158.414872101383,4691.245868506987,SMARCA4
AMPL117931,True,8.281624269575579e-06,3.198168746856295,-11.008324260422414,1.0,pearson,324.3528093070473,14359.355860752765,ATM
AMPL118221,True,0.0001941374537934882,0.9369096358301767,-7.853796944517431,1.0,pearson,162.17368596272402,5613.700279468387,KMT2D
AMPL11982,True,0.001651775198747814,0.356572803320543,-5.712757510822711,1.0,pearson,150.4896034914027,2133.9902307544726,FGFR1
AMPL119939,True,9.544524288165524e-05,0.42175601516485073,-8.563810667325745,1.0,pearson,165.86703258671275,4980.483076175494,MAP3K1
AMPL119983,True,0.0005032861134820904,0.40877704251709135,-6.901204554938295,1.0,pearson,159.59366427967916,4354.444187416034,ARID1B
AMPL120016,True,0.0011262510921168875,0.5326593659464771,-6.095713598789121,1.0,pearson,151.26426466747859,3734.7950008403077,PTPRD
AMPL120246,True,0.00042152531568336347,0.7187415951900601,-7.0784835408327575,1.0,pearson,155.73700702077866,5518.048144994941,NF1
AMPL121280,True,0.0004391266626211653,1.1354581264394086,-7.037575480611636,1.0,pearson,157.95804810911315,5248.7281208068525,DNMT3A
AMPL121707,True,0.00041219864182149885,0.6265740709713454,-7.100858003903668,1.0,pearson,157.1624189316996,5840.571849888253,BAP1
AMPL122652,True,0.0004366579088687927,0.3389742967984604,-7.043213306104032,1.0,pearson,159.91909420149057,3983.7318628421835,KMT2C
AMPL124269,True,1.1799946382616842e-05,4.0348596447945475,-10.654268389789063,1.0,pearson,306.80004297461784,15261.015591330442,CREBBP
