chr	start	end	amplicon_number	gene_name	cytoband	giestain
chr1	6252866	6253135	AMPL250217	RPL22	p36.31	gneg
chr1	6257585	6257854	AMPL257565	RPL22	p36.31	gneg
chr1	11204857	11205126	AMPL257566	MTOR	p36.22	gneg
chr1	11288712	11288981	AMPL253201	MTOR	p36.22	gneg
chr1	11297878	11298127	AMPL257567	MTOR	p36.22	gneg
chr1	11307864	11308132	AMPL250219	MTOR	p36.22	gneg
chr1	11316857	11317126	AMPL248729	MTOR	p36.22	gneg
chr1	11734617	11734877	AMPL251098	MAD2L2	p36.22	gneg
chr1	16245771	16246040	AMPL151786	SPEN	p36.13	gneg
chr1	16474775	16475044	AMPL250221	EPHA2	p36.13	gneg
chr1	22413011	22413280	AMPL250222	CDC42	p36.12	gpos25
chr1	27056061	27056307	AMPL253209	ARID1A	p36.11	gneg
chr1	27057597	27057796	AMPL253210	ARID1A	p36.11	gneg
chr1	27057831	27058099	AMPL253211	ARID1A	p36.11	gneg
chr1	27087285	27087553	AMPL248732	ARID1A	p36.11	gneg
chr1	27089275	27089541	AMPL248733	ARID1A	p36.11	gneg
chr1	27092634	27092883	AMPL257571	ARID1A	p36.11	gneg
chr1	27092884	27093079	AMPL257753	ARID1A	p36.11	gneg
chr1	27094143	27094412	AMPL253216	ARID1A	p36.11	gneg
chr1	27097564	27097833	AMPL253217	ARID1A	p36.11	gneg
chr1	27099243	27099512	AMPL253218	ARID1A	p36.11	gneg
chr1	27099722	27099979	AMPL253219	ARID1A	p36.11	gneg
chr1	27100131	27100400	AMPL253220	ARID1A	p36.11	gneg
chr1	27100814	27101083	AMPL253221	ARID1A	p36.11	gneg
chr1	27101167	27101426	AMPL253222	ARID1A	p36.11	gneg
chr1	27101958	27102227	AMPL253223	ARID1A	p36.11	gneg
chr1	27105455	27105713	AMPL248743	ARID1A	p36.11	gneg
chr1	27105769	27106038	AMPL248744	ARID1A	p36.11	gneg
chr1	27106134	27106390	AMPL253226	ARID1A	p36.11	gneg
chr1	27106429	27106698	AMPL253227	ARID1A	p36.11	gneg
chr1	27106714	27106950	AMPL248748	ARID1A	p36.11	gneg
chr1	27107001	27107260	AMPL115238	ARID1A	p36.11	gneg
chr1	39781089	39781358	AMPL251104	MACF1	p34.3	gneg
chr1	46521439	46521686	AMPL257574	PIK3R3	p34.1	gneg
chr1	91843811	91844080	AMPL251106	HFM1	p22.2	gpos75
chr1	91859759	91860014	AMPL251107	HFM1	p22.2	gpos75
chr1	93298984	93299235	AMPL250226	RPL5	p22.1	gneg
chr1	115256292	115256561	AMPL112922	NRAS	p13.2	gpos50
chr1	120458785	120459001	AMPL248758	NOTCH2	p12	gpos50
chr1	120483058	120483317	AMPL250228	NOTCH2	p12	gpos50
chr1	155233854	155234123	AMPL257576	CLK2	q22	gpos50
chr1	155234124	155234344	AMPL257777	CLK2	q22	gpos50
chr1	155239152	155239421	AMPL250230	CLK2	q22	gpos50
chr1	156820970	156821229	AMPL93537	INSRR	q23.1	gneg
chr1	158612135	158612324	AMPL251114	SPTA1	q23.1	gneg
chr1	163298468	163298737	AMPL257577	NUF2	q23.3	gneg
chr1	182829027	182829271	AMPL250232	DHX9	q25.3	gneg
chr1	206653196	206653462	AMPL250234	IKBKE	q32.1	gneg
chr1	209961734	209961966	AMPL250235	IRF6	q32.2	gpos25
chr1	209969585	209969846	AMPL250236	IRF6	q32.2	gpos25
chr1	226577968	226578237	AMPL250237	PARP1	q42.12	gpos25
chr2	16085438	16085704	AMPL250238	MYCN	p24.3	gpos75
chr2	25457019	25457271	AMPL253250	DNMT3A	p23.3	gneg
chr2	25463039	25463290	AMPL187925	DNMT3A	p23.3	gneg
chr2	25467008	25467229	AMPL257578	DNMT3A	p23.3	gneg
chr2	25470404	25470641	AMPL121280	DNMT3A	p23.3	gneg
chr2	47641360	47641558	AMPL257792	MSH2	p21	gneg
chr2	47672602	47672849	AMPL59620	MSH2	p21	gneg
chr2	47702083	47702336	AMPL250241	MSH2	p21	gneg
chr2	48028062	48028312	AMPL251125	MSH6	p16.3	gpos100
chr2	80085114	80085356	AMPL61654	CTNNA2	p12	gpos100
chr2	100055053	100055322	AMPL250242	REV1	q11.2	gneg
